-0.11656232 -0.00770639  -0.00064021 -0.00767278 
-0.12047934 -0.00700986  -0.00067685 -0.01216003 
-0.11657305 -0.00749280  -0.00060600 -0.00710255 
-0.12085744 -0.00693703  -0.00076063 -0.01026334 
-0.11858608 -0.00756296  -0.00096522 -0.00255531 
-0.12373635 -0.00699446  -0.00135322 -0.00359648 
-0.04111645 -0.00712823  -0.00126116 -0.01017559 
-0.04327630 -0.00657638  -0.00109997 -0.01580726 
-0.04022862 -0.00690535  -0.00102195 -0.01085015 
-0.04270816 -0.00646726  -0.00105446 -0.01533401 
-0.04084386 -0.00658401  -0.00144078 -0.00698460 
-0.04424886 -0.00634751  -0.00190159 -0.00883585 
-0.01316623 -0.00455443  -0.00534986 -0.01165686 
-0.01413406 -0.00450081  -0.00474770 -0.01762501 
-0.01262984 -0.00442691  -0.00459016 -0.01294852 
-0.01362392 -0.00441117  -0.00420714 -0.01782959 
-0.01139682 -0.00414914  -0.00363749 -0.01180320 
-0.01245723 -0.00423776  -0.00382026 -0.01462834 
-0.00633826 -0.00264085  -0.01045559 -0.01183463 
-0.00690204 -0.00271595  -0.00971167 -0.01788050 
-0.00612238 -0.00254953  -0.00939330 -0.01322843 
-0.00670060 -0.00265127  -0.00890367 -0.01817281 
-0.00563233 -0.00238100  -0.00768126 -0.01228551 
-0.00621685 -0.00250420  -0.00774308 -0.01523261 
-0.12761474 -0.00561239  -0.00200465 -0.01361000 
-0.12927809 -0.00572535  -0.00184052 -0.01717914 
-0.12777955 -0.00557404  -0.00204482 -0.01095194 
-0.12984283 -0.00570913  -0.00200954 -0.01346016 
-0.13062666 -0.00555594  -0.00260951 -0.00355164 
-0.13363739 -0.00569937  -0.00282716 -0.00438248 
-0.04891505 -0.00516621  -0.00242362 -0.01859041 
-0.04960244 -0.00530284  -0.00208559 -0.02344268 
-0.04810027 -0.00511871  -0.00229815 -0.01747191 
-0.04918601 -0.00527835  -0.00218554 -0.02126040 
-0.04932767 -0.00506041  -0.00309065 -0.00947753 
-0.05132332 -0.00528198  -0.00341883 -0.01090638 
-0.01759678 -0.00354820  -0.00634088 -0.02142999 
-0.01775500 -0.00376713  -0.00546823 -0.02658587 
-0.01697907 -0.00348380  -0.00564521 -0.02117375 
-0.01719764 -0.00371897  -0.00504282 -0.02541453 
-0.01555116 -0.00335672  -0.00504046 -0.01717632 
-0.01593170 -0.00363506  -0.00507821 -0.01949422 
-0.00895996 -0.00217134  -0.01186990 -0.02182875 
-0.00910184 -0.00236451  -0.01073133 -0.02701405 
-0.00869773 -0.00212790  -0.01086575 -0.02172831 
-0.00888685 -0.00232117  -0.01001724 -0.02596543 
-0.00809070 -0.00200884  -0.00938396 -0.01811881 
-0.00832656 -0.00222095  -0.00919864 -0.02045797 
